riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta;data_fine_corretta
272;0101346802;312677;;
273;0101346802;312736;20240225;20240429
274;0101346802;312736;;
275;0101346802;300464;20230928;99991231
276;0101346802;300464;;
277;0101346802;300465;20230928;99991231
278;0101346802;300465;;
279;0101350501;301971;20231117;99991231
280;0101350501;301971;;
281;0101350501;301972;20231117;99991231
282;0101350501;301972;;
283;0101350501;301973;20231117;99991231
284;0101350501;301973;;
285;0101350501;301974;20231117;99991231
286;0101350501;301974;;
287;0101350601;302056;20231122;99991231
288;0101350601;302056;;
289;0101350601;313098;20240301;99991231
290;0101350601;313098;;
291;0101350601;313099;20240301;99991231
292;0101350601;313099;;
293;0101350803;299743;20230819;20240424
294;0101350803;299743;;
295;0101350901;304104;20240113;99991231
296;0101350901;304104;;
297;0101350901;304115;20240113;99991231
298;0101350901;304115;;
299;0101350901;304128;20240114;99991231
300;0101350901;304128;;
301;0101350901;304130;20240114;99991231
302;0101350901;304130;;
303;0101350901;304131;20240114;99991231
304;0101350901;304131;;
305;0101351001;300350;20230921;99991231
306;0101351001;300350;;
307;0101351001;300351;20230921;99991231
308;0101351001;300351;;
309;0101351001;311497;20240211;99991231
310;0101351001;311497;;
311;0101351001;303916;20231229;20240527
312;0101351001;303916;;
313;0101351001;303917;20231229;99991231
314;0101351001;303917;;
315;0101351001;303973;20231230;99991231
316;0101351001;303973;;
317;0101351001;304111;20240113;99991231
318;0101351001;304111;;
319;0101351001;304112;20240113;99991231
320;0101351001;304112;;
321;0101353301;300384;20240412;99991231
322;0101353301;300384;;
323;0101353301;299670;20230809;99991231
324;0101353301;299670;;
325;0101353501;314869;20240413;99991231
326;0101353501;314869;;
327;0101354701;303512;20231212;20240530
328;0101354701;303512;;
329;0101359702;304096;20240116;99991231
330;0101359702;304096;20240113;20240115
331;0101359702;304096;;
332;0101359702;314561;20240329;99991231
333;0101359702;314561;;
334;0101359702;314562;20240329;99991231
335;0101359702;314562;;
336;0101359802;300207;20230917;99991231
337;0101359802;300207;;
338;0101359802;300208;20230917;99991231
339;0101359802;300208;;
340;0101359802;313589;;
341;0101359802;313589;20240320;99991231
342;0101360201;215808;20230727;99991231
343;0101360201;215808;;
344;0101360201;175160;20230727;99991231
345;0101360201;175160;;
346;0101360201;175161;20230727;99991231
347;0101360201;175161;;
348;0101360201;175063;20230727;99991231
349;0101360201;175063;;
350;0101360301;313228;20240305;99991231
351;0101360301;313228;;
352;0101360502;168061;20230727;99991231
353;0101360502;168061;20231130;99991231
354;0101360502;182782;20230727;99991231
355;0101360502;182782;20231130;99991231
356;0101360502;182783;20230727;99991231
357;0101360502;182783;20231130;99991231
358;0101360502;182784;20230727;99991231
359;0101360502;182784;20231130;99991231
360;0101360502;168061;20231130;99991231
361;0101360502;168061;20230727;99991231
362;0101360502;182782;20231130;99991231
363;0101360502;182782;20230727;99991231
364;0101360502;182783;20231130;99991231
365;0101360502;182783;20230727;99991231
366;0101360502;182784;20231130;99991231
367;0101360502;182784;20230727;99991231
368;0101360502;215808;20230727;99991231
369;0101360502;215808;;
370;0101360502;175160;;
371;0101360502;175160;20230727;99991231
372;0101360502;175161;;
373;0101360502;175161;20230727;99991231
374;0101360502;175063;20230727;99991231
375;0101360502;175063;;
376;0101360502;313255;20240305;99991231
377;0101360502;313255;;
378;0101360602;313255;;
379;0101360602;313255;;
380;0101360602;313217;;
381;0101360602;313217;;
382;0101360802;313228;20240305;99991231
383;0101360802;313228;;
384;0101360802;313228;20240305;99991231
385;0101360802;313228;;
386;0101360903;313217;20240305;99991231
387;0101360903;313217;;
